,sentence,label
84,本人从未给个差评的，但这次看了发过来的商品后是次品，和商家联系，商家不理，哪有这样的道理，在京东买东西几年了，老客户了，第一次碰到这样的事，商家这样做下去只会搬起石头砸自己的脚。。。,0
85,尺寸太大，皮绳太差了，最次的一次购物，卖家还爱理不理的，算了，想入手的朋友们注意了,0
86,喜欢，一定还会再来光顾的,1
87,好用简单操作， 质量不错！,1
88,书的质量不好：\n1：有的文字印刷很清晰，有的就很模糊，不知道该书是不是盗版的 担心中\n2：书送过来的时候，感觉像是受过潮了，有些卷曲\n3：以前在京东买到过盗版书，这次也很怀疑。,0
89,东西很好，但价格比其他网上贵多了,1
90,杂音大，修理半天才凑合，是雨刷本身各接合处缝隙不合适。其次上面印刷标为MKM，不象宣传品牌，只包装盒是。勉强用，不折疼了，给予中差评。,1
91,就是太少哦! 太硬 速度也不够快啊！！！！！！！！！！！！！！！！！！！！！！！！11,1
92,味道不错，一直买这个，价格合理。,1
93,团队活动，用来当礼物的，不错,1
94,非常不错，一次买了两床，,1
95,不错，经验丰富，好书！,1
96,型号还是比较大的。虽然还没有试过，应该还比较好用，至少长相是过了关的!,1
97,整体还好吧。,0
98,不错，满减下来可以用两年了,1
99,很好 屯着先 应该好用,1
100,才几个月，温控就不怎么行了，,0
101,英a国：维多利亚下午茶时代\n窨花茶／拌花茶\n诗情优雅的茶艺，不只是陶醉\n洋酒品鉴b大全\n咖啡b师宝典\n148条\n(100%好评)\n￥42.30(7.3折d)\n￥27.20(d7.2折)\n鸡尾酒品鉴大全\n远古：茶发乎神农\n中国茶道\ne清茶浓情e，茶中有礼\n蒙古族咸奶茶\n英国：维多利亚下午茶时代\n泰国：非茶似茶的g腌茶\ng西南茶区\ng乌龙茶\n花茶\n慧眼识茶，购买有方\n真茶／假茶\n肆h\n茶·效i用\n&hellip;i&hellip;\n茶·泡i饮：美水佳器、诗情茶艺、茶中名品\n诗情优雅的茶艺，不只是陶醉\n咖啡品鉴大全\n洋酒品鉴大全\n840条\n118条\n(96%好评)\nl(97%l好评)\nl￥35.l10(7.4折)\n￥42.30(7.3折)\n鸡尾酒品鉴大全\nm茶·印n象\n秦汉n：茶业初长成\n明清：茶风传四海\n蔡襄&mdash;&mdash;宋·茶学家\no韩国茶道\n泡茶o前整理仪o容最关键\n潮汕功夫茶\n回族罐罐茶\n俄罗斯：围着茶炊在饮p茶\n印度q：舔茶的独特风情\n泰国：非茶似茶的腌茶\n风姿卓然，览茶类盛观\n西南茶区\n红茶\n花茶s\n新茶／陈茶\n真茶／假茶\n茶·艺术\n茶·效用\n茶·泡饮：美水t佳器、诗情茶艺、t茶中名品t\n葡萄酒品鉴大全\n咖啡品鉴大全\n414条\n840条u\n(96%好评)v\n￥23.60(6.6折)\n￥35.10(7.4折)\n茶道入门三篇：制茶、识茶w、泡茶\n中华生活经典：酒谱\n茶·印象\n魏晋：茶风日渐浓\n明清：茶风传四海\n张岱&mdash;&mdash;明清·茶道专家\n韩国茶道\n泡茶时肢体动作要规范\n傣族z、拉祜族竹z筒香茶\nA：激情燃不A尽的茶饮料\n阿根廷：吸出来的马黛茶\n普兰：其乐融融合碗茶\n四B大茶区醉人茶旅\nC江北茶区\n品鉴茶叶，古今有别\n新茶／陈茶\n&hellip;&hellip;\n茶·艺术\n潮D汕功夫D茶，并非特指某种茶叶或茶类的名称，而是一种泡茶的技艺。因为E这种泡茶工艺比较复F杂和讲究，F操作起来需要花费不少功夫，故而得名&ldquo;功夫茶&rdquo;。G潮汕功夫茶起G源时间没有考证，G但向外普及的时期却在民国，教书先生甚至都会&ldquo;坐书H斋，喝烧（I热）茶&rdquo;I。新中国K成立后，潮汕功夫茶更是成为大众化的风尚，造就了&ldquo;有潮汕人的地J方就有功J夫茶&rdquo;的繁荣景象，随处可见人们提壶小酌的情趣场景。\n￥23L.60(6.6折)N\n精品咖L啡学（上）：浅焙、单品、庄园豆，第三波精品咖啡大百M科\n451N条\n古风氤氲，N问千年茶事\n现代：茶事再度兴\n茶道\n泡沫茶\n越南：视O觉和味觉共享的玳玳O花茶\n四大茶区醉人茶旅\n黄茶\n伍\n潮汕人在冲泡和饮用潮汕功Q夫茶时，Q习惯在茶Q盘上放置三个茶杯，且第一泡茶不能饮用，每个杯子的茶水汤色看起来都一样，这是对客人的基本礼仪，从用水、茶具和一整套功夫茶的冲泡工艺，主要突出了&ldquo;和、爱T、精、洁、思&rdquo;五个基本特色,1
102,质量差一天就脱线，颜色也发错，,0
103,一直用这个牌子，也不知道其它牌子的好不好。就用这个了,1
104,13年产呢，盒子有点坏了，不过用着感觉没有大问题就没换了。,1
105,几分钱几分货呀！\n再也不相信了。,0
106,收到货了，不错，质量很好，价格也优惠，很棒,1
107,收录了《筠廊偶笔》、《今世说》、《虞初新志》、《坚瓠集》、《在园杂志》、《履园丛话》、《归田琐记》、《浪迹丛谈》、《茶余客话》等二十种有清一代极富文学价值与史料价值的笔记小说。书很好，很全，印刷很棒！,1
108,异味儿很大，没法给宝宝用，扔了,0
109,超级好用，又买了3个分别送给婆婆、妈妈、儿子,1
110,有两处坏点，一处还在中间较大，懒得换了。,0
111,快递太慢，现实衣服和图片相差好大呢？退货,0
112,面料挺舒服的，大小合适,1
113,千万别买啊！买了后悔！说的保暖内衣，结果就是件体恤，还特么这么贵,0
114,产品质量一般般，客服态度很差，在京东是保护动物是吧！严重鄙视，动不动就叫我退货！一颗星是给快递员的，辛苦了！,0
115,东西不错  送货比较快,1
116,味道非常不错，还送了礼物，看图！,1
117,这款机器不错，功能齐全，打印功能用的最多，其他功能偶尔要用也方便，挺棒的一款打印机,1
118,真的是原装未开封过的，色彩光感都不错，无线连接是这款机器的亮点，画面很清晰！3D效果超赞。好评。以后有需要还会找你们的，服务不错。,1
119,衣服款式很不错，穿上大家都说好看，料子也舒服，物美价廉哦！,1
120,雪菊味道好，满意,1
121,书的外观感觉还是很不错的，就是太复杂了点。,1
122,物流很快，就是质量太差了,0
123,不错，需要的朋友可以下手了,1
124,   收到货后，仔细观察发现，表盘内部有很多脏脏的指纹，还有看到别人的晒图中，盒子都封条贴好的，我收到的货没有封条，还有打开后说明书皮上也很脏，，客服帮忙解释一下原因。。。。,0
125,全是小麦小麦粉。一点点用都没有。,0
126,夏天穿很清凉,1
127,查真伪的时候什么也查不到，所以是假的吧，,0
128,垃圾中的垃圾，千万不要买这遮瑕膏，很垃圾，妈的。根本都没用，而且越涂越明显，谁买了谁后悔，,0
129,衣服还不错，就是码子偏小,1
130,质量还行。 就是不太合帖,1
131,"质量超级超级差,不要购买,帮同事买的其中一个到货就是坏的,另一个背了不到一个月就坏了.",0
132,不匹配，读不了资料，失败的一次购物,0
133,\n鞋子跟图片上的一样，很好看，质量杠杠的，码数标准，穿上很合脚，很舒服，卖家态度很好 ,1
134,不错，比错，注解再多一点就好了，还是我水平太low了?,1
135,就是故事情节有些老套了,1
136,一般，做工粗糙,0
137,很差！ 颜色根本不正！ 照片该是黑色的 打印出来是蓝色！\n,0
138,衣服款式好看，质量好，穿起来舒服,1
139,衣服很漂亮，物流也比较快，买的很值得啊，质量也很好哦！,1
140,发来的袜子都是烂的有洞？??,0
141,商品还可以就是有点薄,0
142,不好，和在专柜买的相比较，网上买的效果完全不好，敷完之后效果也不好！,0
143,才用一次，不知道可不可以减肥，继续看看,1
144,衣服到了和图片不太相付，质量不好。。。。妈妈不喜欢，自己怕麻烦就没退了,0
145,一直买的，这次硒鼓打印只有半面纸，又过了保质期,0
146,音量很大，收音效果也好，已经用了快半年了，一直都很好,1
147,柔软舒服！尺寸够大！应该可以用很久,1
148,鞋子样子跟图片一样，就是走路不稳，鞋跟晃的，穿了一段时间大拇指下面都掉色了。走路时间长了很累，不满意！,0
149,外包装真不错，个大，肯定好吃,1
150,很好用，够静音值得购买，装在浴室刚好,1
151,好用，很适合画内眼线。,1
152,很好，很好用，物流很快，能搜索到方圆一百五十米内的信号,1
153,一般般还可以用也可以看,0
154,死都不在这里买东西，烂烂烂,0
155,1990年，国语专辑《不愿一个人》发行。儿子厚安诞生，[13] 升格为爸爸。在期待儿子诞生的日子里，写下《亲亲我的宝贝》[10] 、《我愿意去等》两首脍炙人口的好歌。荣获台湾第一届台湾金曲奖&ldquo;最佳男演唱人奖&rdquo;提名。[12] \n\n1991年，创作《璀璨》、《两种》、《怕黑》、《我不要知道我的未来》，收录于个人专辑《让我欢喜让我忧》。[12] \n\n1992年，成立&ldquo;摆渡人音乐工作室&rdquo;。由&ldquo;摆渡人音乐工作室&rdquo;制作的首张英文专辑《 I REMEMER》发行，其销售成绩创下国内歌坛英文专辑空前纪录。制作李明德《坚持》专辑发行[12] 。应日本NHK电视台邀请，与专属乐团&ldquo;EZ&ldquo;，参加琉球民族音乐祭。\n\n\n\n\n周华健获奖图片\n周华健获奖图片\n\n1993年，《让我欢喜让我忧》荣获金曲奖年度最佳国语歌曲演唱人奖。[11] 参加电影《超级计划》演出。国内第一本图像杂志视觉化的歌手书《华健祈祷书》出版。《花心》国语专辑发行。大陆首度个人巡回演唱会&ldquo;今夜阳光灿烂&rdquo;，在北京等地连办七场。华健香港首度个人演唱会&ldquo;今夜阳光灿烂&rdquo;于伊丽莎白体育馆举行。《SONGS OF BIRDS》英文专辑发行。\n\n1994年，《今夜阳光灿烂LIVE》CD、LD发行。再度受邀演唱台湾省区运会主题曲《海阔天空》。《风雨无阻》国语专辑发行。[11] \n\n1994年9月底，首度在香港红勘体育馆举办三场个人大型演唱会。\n\n1994年11月，亚洲巡回演唱会于新加坡圆满闭幕。《今夜阳光灿烂》亚洲巡回演唱实况录影带，两卷一套发行。生平首张粤语大碟《有弦相聚》正式登陆香港。参加电影《等爱的女人》演出。\n\n1994年12月，女儿厚恩出生。[13] 参加&ldquo;亚洲音乐祭&rdquo;与日本知名乐团&ldquo;THEBO&rdquo;同台演出。被香港媒体封为&ldquo;天王杀手&rdquo;。为杨佩佩版《倚天屠龙记》创作主题曲《刀剑如梦》，为电视剧《侠义见青天》创作主题曲《英雄泪》，创作《的确比他好》、《海阔天空》、《难兄难弟》，收录于个人专辑《风雨无阻》。,1
156,质量不怎么样，价格贵,0
157,物美价廉 服务上乘 交易顺利 perfect,1
158,稍短。衣服质量还可以。,1
159,差、在京东买东西、第一次买到怎么差的、不如地摊两块一双的、差差差、,0
160,有一手真的很坑，尤其是花乡店，千万不要去，第一次去，喷的漆的颜色严重不符，返工；第二次喷的终于凑合了，但是内饰搞的全是灰尘，并且是在打磨车漆的时候没有关车门，导致车漆全部飘到内饰，搞的厚厚一层，居然就这么给我送过啦了；第二次做钣喷，把我车的左侧车门搞的全是胶，用手都扣不掉，返工后打磨机打磨掉的，但是，妈的把我天窗给我搞坏了，天窗边缘一个死点，明显是器材从上方掉下来砸的，交车的时候我也没有细看，过了一周用天窗的时候才发现，现在已经从一个死点裂成了花纹，换个天窗要*块，我的蒙迪欧才一万公里啊，让有一手给我搞死了，以后千万不要贪便宜，一分钱一分货，服务差，专业性差，就是便宜，新车。好车千万不要去，*的车去还行，前提你还是个好对付的车主，维修车辆都不套车座套，工人师傅穿着脏衣服就进到车里开始工作，真的是坑啊。,0
161,孕期看的，很不错,1
162,虽然孩子才上小学一年级，但还是买了一本给他，他很羡慕其他会说四字词的小伙伴，相信他会认真学习的,1
163,很不喜欢，价格也不实在，勒得很紧,0
164,特别差，跟本不是反毛皮的！做工不好！,0
165,鞋子质量还是可以，就是不是很软和。,1
166,这个可真所谓是印刷品，低级的印刷品，错字，重影，掉页都可以在这本书里面找到。,0
167,鞋子压根没绒， 就是单款鞋，  联系客服就不说话了,0
168,衣服收到了大了一点，希望洗了不会变形。。。,1
169,穿着不舒服。。,0
170,不好吃，太硬，根本进步了口,0
171,味道不像是纯正的依兰单方精油，用来香薰很刺鼻。,0
172,商品质量不错 物流快速,1
173,下水洗了，就这样了。上身感觉有点硬。裤子就没出现掉色。,0
174,介绍很好、把关很差，音质一般下、图像模糊、特别是4碟中有1碟明显是费品也夹在中间，发照片后沟通卖家，要求把费碟寄去，因为商家知道、几十元东西一般买家是不会化精力去退来换去搞、所以嘛：以后购物也不要迷信京东了，现在`京东林子大了，什么鸟照样也有，和其它网站也差不多，呵呵！,0
175,很糟糕吧 没有想得到打孔器的问题到现在还不能用 有点坑,1
176,公司购买，买了很多次了。质量还可以。,1
177,比想像中差，一般般吧！,0
178,书送来时，起褶了，这是书啊，包装太差,0
179,衣服的尺寸不标准，偏大，质量一般！,0
180,闺女穿上刚刚好，很喜欢。一直穿这个牌子的。不错 ,1
181,东西还行 物流差劲,1
182,小，但是还行吧，可以用，快递不行，早下单了,0
183,还可以，就是太白了可能不耐脏,0
184,产品质量一般，不保暖，特别是裤子太糊弄人了。不要买,0
185,大概看了看，感觉还是挺好的,1
186,没有额外包装，发货用了4天，低音不够，环绕只有5.1音源才可以体现。,0
187,保温效果不错，价格很意外很满意,1
188,很好，希望能快速进步。,1
189,东西一般发货超慢叫京东的小妹催了几次才发货。,0
190,真心不好，好大的胶味，懒得退了,0
191,太大了质量不好,0
192,非常好听！！！！！！！！！！！,1
193,用起来不错，快递小哥很好，棒棒的,1
194,大概看了下目录，还是感觉蛮有用的，期待可以提高,1
195,骗人没给我  坑人的,1
196,还可以，火很旺，可以点雪茄,1
197,东西可以发货速度太慢了,0
198,快递被拆来了，标签都撕了&hellip;&hellip;收货时看东西没少就签了，,0
199,90%以上的内容跟人卫版蓝皮的课本一模一样。一开始以为页数多一些，内容也会多一些，谁知道原来是字体大了一号&hellip;&hellip;而且相比之下，图片只少不多，价格却贵了80%。真心不推荐买。,0
200,一般，花哨的外观，操作性差,0
201,宝贝很漂亮，上身效果很好，很瘦身，质量也不错。,1
202,如果上帝没有给你美貌，那何不努力做到优雅，来超越美貌呢？如果你已经幸运地拥有美貌，那何不用优雅来超越时光，让这美貌历久弥新呢？,1
203,很好。质量好，价格好。。,1
204,一本都没看完，头都大了，看不太懂啊,1
205,价格打折的时候很良心，但这种书普遍太重了，不适合翻阅，但内容和重量一样是实打实的,1
206,广诚行2015新茶武夷岩茶大红袍茶叶肉桂甘草香乌龙茶散茶还不错！,1
207,不通透，假的厉害,0
208,呵呵 看看这奇葩造型 我tm真无语了 没见过这个吗奇葩的设计 居然旋转不了 谁设计的站出来 我要打死他 行 占点地方 支棱八翘的对付用我忍了 看看功能吧 插上 刚装上光盘驱动 xp系统下重启居然进不了系统 呵呵呵呵呵呵 呵呵 好 还有比这个还烂的么？,0
209,正版。。。。。。。。。。。。。没用,1
210,东西收到了，说好送东西的，可是没有看到什么赠品，忽悠人的吧，不诚信......,0
211,质量看着不错，就是声音稍微大点,1
212,不错。送货比较快。不错很值。,1
213,看起来还行，质量太差！,0
214,简简单单列了几幅画，大量的版面用来堆了粗糙的文字。没价值,0
215,三免一买的质量真不咋的，没有前两套好，原价还比前两套要贵。除了外面那件红挂还满意其它都不满意。,0
216,送货较慢，等了1周才收到，这次包装蛮好，下雨没淋湿，这次送货的JD小哥比上次那个强，一车子货，包的严严实实的,1
217,是正版的，价格便宜，没了。,1
218,啊，家里干，它变小了，应该买大号的,1
219,电动车宝马款式很炫酷，和真车一样，动力很好，质量很结实，在外面很拉风，真的是物美价廉，很满意的一次购物\n,1
220,"真是太慢了走了快半个月才到,什么商家,崔就说快了,收完款就不管了",0
221,收都没收到，快递慢，差评,0
222,口袋难受，毛线质量一般般，硬,0
223,不怎么好，调试太差了,0
224,发票一个多星期了 就是不提供 再三询问客服 总是推脱,0
225,总体不错可是这个不配内存卡吗？,1
226,收到就是坏的，发货的没长心，也不检查,0
227,老板您好 请问 荣威350可用吗,0
228,烂书一本~写的什么破鸡汤故事。没什么实际有价值的,0
229,书很不错，正版的，非常满意,1
230,太慢了，简直比蜗牛还慢,0
231,油烟机和燃气灶品质都不错，客服也挺耐心，9月10日报装，隔了几日来了个老板级安装师傅，师傅工作利落、身不染尘、一习喝茶衣衫工具都不用带一只，凭借多年实体店安装经验，拆箱便郑重告之安装不了，刹有风度的拍了厨房照报志与他的上级，然后驾车而去。师傅健谈，住房结构、厨房空间也没能提供一处便利于师傅，很是抱歉。知国庆期间公司肯定很忙，便自借工具与朋友二人才给老妈装好，娱快的试过了一个假期。,0
232,"小咖啡壶用起来好用,水开的快.",1
233,中看不中用，质量太差，还说纯棉，摸起来粗糙，本想下单二件，还好明智先试一件，失望极了，懒的退了。,0
234,物流超级超级超级慢，同时购买的核桃都吃完了，核桃夹还没有到！强烈差评！,0
235,给父亲买的，父亲穿上刚好，看得出他很开心。,1
236,发货也太慢，琴手感和音都不好，琴架做工太粗糙，太失望了，凑合用吧，也懒得在退了，太麻烦,0
237,这一分都是给快递的挺快，只能说非常不好，有一个角还烂了一点呢，本人怕麻烦，懒得换了。刚刚称了56.43，冲个凉称就56.07，感觉特不准的感觉,0
238,三月底了还没收到一本书。还能不能发货了,0
239,没什么效果 用屁屁乐呢,1
240,当隔片使用，效果不错,1
241,物流慢的让人很着急，8天。,0
242,给人家买的，还不错了。,1
243,三天使用不到50次打火机就坏了，,0
244,很棒的书 送人了 包装很用心 一个大箱子,1
245,衣服的面料好穿着舒服大小合适做工精细 ,1
246,生产日期是2013年的，不知道是不是过期。,0
247,考试全靠它了，书还是不错的,1
248,菜谱很好   包装也很好     就是里面的内容我差不多都会     所以选择换货    卖家不好意思哈,1
249,不错的东东，我家夫人很喜欢 ,1
250,血色围城网上评价很好，煲开了再来追评吧,1
251,一星给的是快递,0
252,已&ldquo;被&rdquo;欠费。交了身*份*zheng复印件，竟然说我没实名认证,0
253,不想说！！！！！！！！！！,0
254,明明两个水嘴得一个,0
255,挺好的，价位也合适，不错,1
256,盒子質量非常差！垃圾垃圾！,0
257,朋友些千万不要买，充电越充越少，不说手机充的很烫,0
258,不满意的一次购物，字布都不清楚，特价难道就是买质量有瑕疵的商品么,0
259,不怎样，放了热水明显外玻璃发烫，看来非真空，保温效果也不咋的，还有就是漏水，除非使劲拧紧盖子，这哪像英国品牌的产品，价格还奇贵，不推荐。失败的一次购物。,0
260,我们公司做电地暖的，需要这种书，买了很多本了。。。,1
261,换货太慢了，客服电话老打不通，还是我问的他们才换货。鞋子右脚比左脚大，真闹心。,0
262,衬衫比较大，穿起来不怎么自然,0
263,外面套子的味道非常大，偷工减料，非常难闻，也许会影响健康，这点非常不好，差评！！！,0
264,性价比很高，质量好使用方便,1
265,除了价格高些，其他都挺好的,1
266,不值这个价。。。。服务很差,0
267,太大了，质量一般，不值得购买,0
268,不给发票，卖家垃圾,0
269,一点也不满意，我都退货有半个月了，也没有退款的消息。而且打电话关机，发消息不回。这家店怎么做生意的？,0
270,宝贝穿上很好看，质量不错，好评 ,1
271,不好用～根本夹不起来,0
272,没有说明的八倍功能，且光圈刻度也是假的，根本就不动,0
273,没有图片看着好，说是优惠价还要邮费跟在店子里买没什么两样,1
274,不是皮的，完全不值，,0
275,彩棉，值得信耐！柔软，舒适，透气性强。,1
276,不怎么样，与照片不符,0
277,造型不错，86盒子正好不用钻孔，造型不错,1
280,\n　　惟一的不满是，这书的封面设计太容易误导人，还以为是一本专门的文章呢。,1
281,带字好评：昨天收到的宝贝，包装很好，打开一看跟实物是一样的，没气味。效果要用了之后才知道期待中。。。卖家很热情，还送了小礼物，谢谢下次推荐给朋友。,1
282,不太满意，单鞋不值这个价,0
283,拍的时候明明是39发回来是42的，以为篮球鞋就是大了，见朋友穿的球鞋穿的鞋问了一下是39我的比他大好多，看了一下鞋盒竟然是42的，自己出邮费邮过去换尽然不给换，说是穿过了，问题也是后来才发现的，而且是在15天之内，呵呵！这个人坑的满分啊！,0
284,外观不错  分量也够\n好像是铁的？？钢号不够、、,0
285,质量可以，但是颜色跟想像的不一样，不理想,0
286,最不满意的一次购物，还买了份送人。外壳严重压变形。里面的书连侧面连包都没有包浆。,0
287,怎么说呢，就是帽子，那上面的毛毛，我老婆，不喜欢，还有手套，也不喜欢，围脖，还行，,0
288,第二双了，第一次买的觉得不错！一直没货，后来发现有货立马出手了哈！质量好没的说！,1
289,唯一不足的就是发票没给,1
290,给好评骗了，不值这个钱！都不敢网购了！,0
291,买了一套林晃出的，确实不错的。,1
292,结合最高人民法院专家法官阐释民商裁判疑难问题看的话  应该更好,1
293,小宝宝床包装很好，很重好不容易搬回家，组装很简单，毫无压力一会组完，没有味道，跟商场卖的一样，很满意。,1
294,质量非常差，差，买来都不敢穿！,0
295,挺不错的，基本符合期望,1
296,1不是牛皮的2发货速度慢3联系客服没反应。你很拽，我也没办法,0
297,裤子一般，物流太慢。河北到安徽7天,0
298,我要退货，你们给个答复撒，你这个一看就是二手的或者翻新的嘛，根本用不了，我要退货，或者给我换个新的，我不要二手货，有磨痕和擦拭过的痕迹，这不是二手是什么，还当新机卖，有没有良心\n,0
299,感觉有些像旧的&hellip;&hellip;&hellip;,0
300,这个产品不错，房事时间延长很多，己多次购买了，一只字代表：爽！,1
301,质量实在太差了～穿着脚臭比一百多的皮鞋还差劲～买遭了～冒牌必登高～居然还让京东配送,0
302,以后不会再买了，质，，，，，，，，，,0
303,先入手，留作日后备用。,1
304,质感不好，很毛糙，不值这个价,0
305,东西还不错，就是不知道连续开几天会怎样的.而且快递也挺快的,0
